id,item,file,priority,submitted,status,sign1,sign2,due,archive
DS-202609-13,生育津贴计算器政策核对（619 号令 98 天、÷30 计发口径）,src/lib/calculators/maternity-allowance.ts + src/pages/finance/maternity-allowance-cn.astro,P1,2026-09-21,已提交（AI 预核全过；签核包已就位，待人工首签）,政策研究员（待指定姓名）,主编 + 法务（社保/生育类必签）,2026-09-28,./2026-09/maternity-allowance-cn-verification.md
DS-202609-14,产假工资计算器政策核对（98 天基础 + 各省奖励假）,src/lib/calculators/maternity-leave-pay.ts + src/pages/finance/maternity-leave-pay-cn.astro,P1,2026-09-21,已提交（AI 预核全过；签核包已就位，待人工首签）,政策研究员（待指定姓名）,主编 + 法务（社保/生育类必签）,2026-09-28,./2026-09/maternity-leave-pay-cn-verification.md
DS-202609-15,公积金贷款计算器政策核对（央行 2025-05-08 起利率 2.1%/2.6%/2.525%/3.075%）,src/lib/calculators/housing-fund-loan.ts + src/pages/finance/housing-fund-loan-cn.astro,P1,2026-09-21,已提交（AI 预核全过；签核包已就位，待人工首签）,政策研究员（待指定姓名）,主编 + 法务（金融/房产类必签）,2026-09-28,./2026-09/housing-fund-loan-cn-verification.md
DS-202609-16,车险保费计算器政策核对（2026-06-01 交强险新浮动机制）,src/lib/calculators/auto-insurance.ts + src/pages/finance/auto-insurance-cn.astro,P1,2026-09-21,已提交（AI 预核全过；签核包已就位，待人工首签）,政策研究员（待指定姓名）,主编 + 法务（金融/保险类必签）,2026-09-28,./2026-09/auto-insurance-cn-verification.md
DS-202609-17,跨行转账手续费计算器政策核对（发改价格〔2014〕268 号分档）,src/lib/calculators/interbank-transfer-fee.ts + src/pages/finance/interbank-transfer-fee-cn.astro,P1,2026-09-21,已提交（AI 预核全过；签核包已就位，待人工首签）,政策研究员（待指定姓名）,主编 + 法务（金融/收费类必签）,2026-09-28,./2026-09/interbank-transfer-fee-cn-verification.md
DS-202609-18,信用卡免息期计算器政策核对（账单日后第 N 天、自然日差口径 v1.1.0）,src/lib/calculators/credit-card-grace.ts + src/pages/finance/credit-card-grace-cn.astro,P1,2026-09-21,已提交（AI 预核全过；签核包已就位，待人工首签）,政策研究员（待指定姓名）,主编 + 法务（金融/信贷类必签）,2026-09-28,./2026-09/credit-card-grace-cn-verification.md
DS-202609-19,年终奖计税方式对比计算器政策核对（财政部 税务总局公告 2023 年第 30 号、延续至 2027-12-31）,src/lib/calculators/bonus-tax-compare.ts + src/pages/finance/bonus-tax-compare-cn.astro,P1,2026-09-21,已提交（AI 预核全过；签核包已就位，待人工首签）,政策研究员（待指定姓名）,主编 + 法务（税务类必签）,2026-09-28,./2026-09/bonus-tax-compare-cn-verification.md
DS-202609-20,诉讼费计算器政策核对（国务院令第 481 号 第十三条速算扣除法 + 劳动 / 离婚 / 其他非财产）,src/lib/calculators/lawsuit-fee-cn.ts + src/pages/finance/lawsuit-fee-cn.astro,P1,2026-09-21,待首签（AI 预核 10 维度全过）,政策研究员（待指定姓名）,主编 + 法务（诉讼程序类必签）,2026-10-05,./2026-09/lawsuit-fee-cn-verification.md
DS-202609-21,经济补偿金计算器政策核对（劳动合同法第四十七条 + 3 倍社平封顶 + N / N+1 / 2N）,src/lib/calculators/compensation-cn.ts + src/pages/finance/compensation-cn.astro,P1,2026-09-21,待首签（AI 预核 10 维度全过）,政策研究员（待指定姓名）,主编 + 法务（劳动用工类必签）,2026-10-05,./2026-09/compensation-cn-verification.md
DS-202609-22,工伤赔偿计算器政策核对（工伤保险条例第三十五、三十七条 + 1-10 级月数 + 1-4 级 90/85/80/75%）,src/lib/calculators/injury-cn.ts + src/pages/finance/injury-cn.astro,P1,2026-09-21,待首签（AI 预核 10 维度全过）,政策研究员（待指定姓名）,主编 + 法务（社保/工伤类必签）,2026-10-05,./2026-09/injury-cn-verification.md
DS-202609-23,交通事故赔偿计算器政策核对（法释〔2020〕17 号 / 法释〔2022〕14 号 第十二、十三、十五条）,src/lib/calculators/traffic-cn.ts + src/pages/finance/traffic-cn.astro,P1,2026-09-21,待首签（AI 预核 10 维度全过）,政策研究员（待指定姓名）,主编 + 法务（民商事侵权类必签）,2026-10-05,./2026-09/traffic-cn-verification.md
DS-202609-24,工具页面法律风险加固报告 v1.1 归档（18 页面 YMYL/合规提示内容补丁）,docs/legal-review/legal-hardening-report-20260921.md + 18 个页面（详见报告 §9.1 + §9.1.1）,P1,2026-09-21,已提交（仓库已落 1 个样式 + 18 页面提示块，astro build 2.87s/160 页通过；待法务措辞复核）,项目负责人（首签）,法务（终签）,2026-10-05,../../../docs/legal-review/legal-hardening-report-20260921.md
